N° Ech;Cd;Co;Cr;Cu;Ni;Pb;Zn
;[mg/l];[mg/l];[mg/l];[mg/l];[mg/l];[mg/l];[mg/l]
1M;<loq;<loq;0.816;0.540;0.755;0.728;1.560
2M;<loq;<loq;0.502;0.747;0.737;4.780;2.180
5M;<loq;0.597;1.540;2.250;2.370;1.380;4.030
7.1 S;<loq;<loq;0.981;1.050;0.707;0.735;3.930
7.2 S;<loq;<loq;0.645;1.010;0.883;0.852;3.320
8 S;<loq;<loq;0.705;1.450;0.610;0.930;6.630
9.1 S;<loq;<loq;<loq;1.550;0.667;0.990;5.760
9.2 S;<loq;<loq;0.713;1.300;0.596;0.899;5.160
4.1;<loq;<loq;0.675;1.290;1.150;1.240;4.160
4.2;<loq;<loq;0.691;1.520;0.874;0.948;4.730
6.1 C;<loq;<loq;<loq;1.420;0.723;0.802;4.740
6.2 C;<loq;<loq;<loq;1.150;0.645;0.954;4.930
3 P;<loq;<loq;0.897;1.280;1.210;1.490;10.20
