"Résultats des analyses des PCBs par GCMSMS dans les sédiments des TP ""analyse des polluants dans l'environnement"" octobre 2021";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
PCB;std1;;std2;;std3;;std4;;1M;2M;4M1;4M2;5M;7S1;7S2;8S;9S1;9S2;6C1;6C2;3P
;ng/ml;surface;ng/ml;surface;ng/ml;surface;ng/ml;surface;surface;surface;surface;surface;surface;surface;surface;surface;surface;surface;surface;surface;surface
CB 28;0.3;93843;0.8;234022;3;938429;15;4271911;nd;nd;86247;159822;nd;62371;nd;50133;44644;34734;69864;470356;96861
CB 52;0.3;45950;0.8;114991;3;459962;15;2171040;nd;nd;33622;64060;nd;36555;nd;83192;52080;31753;47278;222946;170631
CB 101;0.3;27318;0.8;68603;3;273725;15;1244263;nd;nd;54126;74115;nd;42457;nd;123598;80868;51168;75310;234074;260771
CB 105;0.3;16015;0.8;39956;3;159825;15;788141;nd;nd;nd;29241;nd;nd;nd;34369;23004;nd;27591;43617;87956
CB 118;0.3;20165;0.8;50111;3;201446;15;1025475;nd;nd;29368;66333;nd;23816;nd;95239;63427;45514;62102;137408;203603
CB 128;0.3;16283;0.8;40872;3;162670;15;775251;nd;nd;nd;nd;nd;nd;nd;12854;11416;nd;10836;21533;36941
CB 138;0.3;16732;0.8;41914;3;167655;15;895344;19672;12117;78180;77358;nd;36525;18963;116841;93579;58878;139370;256550;320396
CB 149;0.3;13373;0.8;33349;3;133730;15;626982;12724;nd;55443;39253;nd;24009;nd;71302;64681;38592;75839;179406;204809
CB 153;0.3;8920;0.8;22457;3;89377;15;447166;16601;11959;73073;81607;nd;36069;17317;115275;93455;63212;130521;273676;307597
CB 156;0.3;8616;0.8;21541;3;86164;15;445144;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;13361;16997
CB 170;0.3;6134;0.8;15205;3;61278;15;300536;nd;nd;7832;6246;nd;3943;nd;10059;11333;4465;29397;24956;36444
CB 180;0.3;4741;0.8;11854;3;47414;15;235507;nd;nd;15426;13052;nd;6716;3233;23466;21406;13197;55543;41369;59514
